iter	Logloss
225	0.5912017198
226	0.5908429517
227	0.5904755807
228	0.5900681437
229	0.5898495607
230	0.5894542376
231	0.5890715255
232	0.588712972
233	0.588345996
234	0.5879345109
235	0.5875582801
236	0.587184653
237	0.5870908514
238	0.5867061537
239	0.5863139257
240	0.5859696984
241	0.5856056422
242	0.585222553
243	0.5850110601
244	0.5846794792
245	0.5843182263
246	0.5840156981
247	0.5836688937
248	0.5834601182
249	0.5830842571
250	0.5827227805
251	0.5823703571
252	0.5820297141
253	0.5817302062
254	0.5813583824
255	0.5810256689
256	0.580660536
257	0.5803938728
258	0.5800549738
259	0.5797002351
260	0.5793884245
261	0.5790772941
262	0.5787474911
263	0.5785160431
264	0.5781327762
265	0.5777974418
266	0.5774344155
267	0.5771230069
268	0.5768327068
269	0.5765208344
270	0.5761646442
271	0.5759495952
272	0.5756019205
273	0.5752861818
274	0.5749830659
275	0.574720107
276	0.5744336093
277	0.5740727745
278	0.573878646
279	0.5735629876
280	0.5731679423
281	0.5727971855
282	0.5725232969
283	0.5721894458
284	0.5718261892
285	0.5714859692
286	0.571163823
287	0.5708270873
288	0.5705004459
289	0.5701749749
290	0.5698710161
291	0.569535589
292	0.5692882323
293	0.5690003193
294	0.5687303976
295	0.5684842308
296	0.5681722157
297	0.5678574838
298	0.5676277585
299	0.56727606
300	0.5669609016
301	0.5666663626
302	0.566389137
303	0.566086019
304	0.5657741844
305	0.5654377071
306	0.5652346903
307	0.5649096064
308	0.5645837955
309	0.5643510973
310	0.5640052015
311	0.5637992029
312	0.5634912578
313	0.563149701
314	0.5629719632
315	0.5626352812
316	0.5623251628
317	0.5620497061
318	0.5617789731
319	0.5614818383
320	0.5611934742
321	0.5609501781
322	0.560619085
323	0.5602772011
324	0.5599526597
325	0.5596883939
326	0.5594150979
327	0.5591457806
328	0.5588554403
329	0.5585839005
330	0.5582875522
331	0.5580784894
332	0.5577649186
333	0.5574847165
334	0.5571624905
335	0.5568745384
336	0.5565524896
337	0.5561734013
338	0.5558827332
339	0.555644802
340	0.5553349109
341	0.5551686326
342	0.5548453904
343	0.554638998
344	0.5544043
345	0.5541459799
346	0.5539221941
347	0.5536041725
348	0.5533247231
349	0.5530458069
350	0.5527707915
351	0.5524361468
352	0.5521355887
353	0.5518327541
354	0.5515270141
355	0.5512513565
356	0.5509790087
357	0.5506174153
358	0.5503433151
359	0.5500710984
360	0.5498091178
361	0.5495423835
362	0.5493177633
363	0.5490236987
364	0.5487986183
365	0.5485176849
366	0.5482677461
367	0.5479765422
368	0.5478210169
369	0.5475483762
370	0.5472542399
371	0.5470231537
372	0.5467175787
373	0.546464043
374	0.5462546881
375	0.5459405887
376	0.5457296203
377	0.5454702313
378	0.5452192411
379	0.5449326129
380	0.5447170196
381	0.5444950755
382	0.5442296167
383	0.5439890787
384	0.5437281877
385	0.543428555
386	0.5432797474
387	0.5430072409
388	0.5427248253
389	0.5424873744
390	0.5421596238
391	0.5419052157
392	0.5416507436
393	0.5413828253
394	0.5411945369
395	0.5409111259
396	0.5406492898
397	0.5404164104
398	0.5401507355
399	0.5398683676
400	0.5396103181
401	0.5393449596
402	0.539068128
403	0.5387577413
404	0.5384835436
405	0.5382468935
406	0.5380047833
407	0.5377282857
408	0.5374644411
409	0.5371989906
410	0.5371163349
411	0.5369614608
412	0.5366983134
413	0.5364516204
414	0.5362533093
415	0.5359907775
416	0.5357330416
417	0.5354929255
418	0.5353038317
419	0.5350718555
420	0.5347986107
421	0.5345770816
422	0.5343165019
423	0.5341046674
424	0.533842555
425	0.5335997003
426	0.5333911816
427	0.5331689862
428	0.5329283079
429	0.5327173245
430	0.532583678
431	0.5324390318
432	0.5322692069
433	0.5320596441
434	0.5317926483
435	0.5315564541
436	0.5313616784
437	0.5311094958
438	0.5309356546
439	0.5308441811
440	0.5305934242
441	0.5302804267
442	0.530150257
443	0.5298949689
444	0.5296279146
445	0.5293489137
446	0.5291820669
447	0.5290535783
448	0.5287509511
449	0.528432373
450	0.5282004234
451	0.528135374
452	0.5278671026
453	0.5276535274
454	0.527452622
455	0.5272750375
456	0.5270586147
457	0.5268303762
458	0.5266092499
459	0.5263597582
460	0.5260790662
461	0.5258681157
462	0.5256825247
463	0.5255587762
464	0.5253282969
465	0.5250796804
466	0.5249005527
467	0.5246838212
468	0.5244264734
469	0.5241940844
470	0.5238771549
471	0.5237405875
472	0.5234873639
473	0.5233083239
474	0.5230604937
475	0.5228381923
476	0.5226226758
477	0.522402467
478	0.5221907518
479	0.5219977771
480	0.5217868013
481	0.5215462984
482	0.5213061504
483	0.5210729824
484	0.5208623578
485	0.5207450669
486	0.5205083291
487	0.5202671753
488	0.5200283018
489	0.5197923065
490	0.5196604328
491	0.5193657879
492	0.5191183861
493	0.5189104998
494	0.5187068399
495	0.5184349236
496	0.5182481756
497	0.5180340493
498	0.517835968
499	0.5176284394
