iter	Logloss
0	0.6925252656
1	0.6919190008
2	0.6914224657
3	0.6907669594
4	0.690192735
5	0.6896503124
6	0.6891323852
7	0.6885627961
8	0.6880785634
9	0.6874932023
10	0.6869318623
11	0.6863417006
12	0.6857289977
13	0.6851538182
14	0.684784288
15	0.6842055818
16	0.6836496685
17	0.683282724
18	0.682764927
19	0.6821805043
20	0.6815932212
21	0.6809350084
22	0.6804175432
23	0.6798326133
24	0.6792300427
25	0.6786358895
26	0.6780829133
27	0.6775353429
28	0.6769421818
29	0.6764629951
30	0.6759047081
31	0.6753427145
32	0.6747549973
33	0.6741431638
34	0.6735517877
35	0.6729574727
36	0.6723889857
37	0.6719183016
38	0.6713956104
39	0.6708762037
40	0.6705116199
41	0.6699510382
42	0.669441885
43	0.6688818516
44	0.6683198705
45	0.6677180465
46	0.667173155
47	0.6666215999
48	0.6660327694
49	0.6656491011
50	0.6651967235
51	0.664651156
52	0.66413828
53	0.663673723
54	0.6633181955
55	0.6629811299
56	0.6624195489
57	0.6620865764
58	0.6615607064
59	0.6610699559
60	0.6607393426
61	0.6602285823
62	0.6597033137
63	0.6591473845
64	0.6585996878
65	0.6580769295
66	0.6576962054
67	0.6572056556
68	0.6568640138
69	0.6563252236
70	0.6558390735
71	0.6554070934
72	0.6548632523
73	0.6544340355
74	0.65392581
75	0.6533708666
76	0.6528396763
77	0.652339656
78	0.6518877734
79	0.6513666259
80	0.6508534312
81	0.6503251724
82	0.6498359863
83	0.6493317125
84	0.6489372846
85	0.6485956935
86	0.648080226
87	0.6475356014
88	0.6470436966
89	0.6465490515
90	0.6460502466
91	0.6456337913
92	0.6453278716
93	0.6450226178
94	0.6445129193
95	0.6439783082
96	0.6434583538
97	0.6431156681
98	0.6426235558
99	0.6422001885
100	0.6416984425
101	0.6412881654
102	0.6408195837
103	0.6404513833
104	0.6399754723
105	0.6394009196
106	0.6390757415
107	0.6386513855
108	0.6381485185
109	0.6376692797
110	0.6372627801
111	0.6368508134
112	0.6364989392
113	0.6359899832
114	0.6355132671
115	0.635090369
116	0.6345905741
117	0.6340867748
118	0.6337064486
119	0.633234897
120	0.632771271
121	0.6322795628
122	0.6318312721
123	0.6313155235
124	0.6308558616
125	0.6303625049
126	0.6300809961
127	0.6295619765
128	0.6292079221
129	0.6286319402
130	0.6281907974
131	0.6277675543
132	0.6274202866
133	0.6269948399
134	0.6265401591
135	0.6261384001
136	0.6257107144
137	0.625311001
138	0.6248996439
139	0.6244585753
140	0.6241455247
141	0.6236764213
142	0.6232726005
143	0.6228655505
144	0.6225961379
145	0.6221129212
146	0.6216878979
147	0.6213216261
148	0.6209138566
149	0.6204626434
150	0.620025465
151	0.6196629688
152	0.6193542291
153	0.6189201138
154	0.6185646189
155	0.6181103039
156	0.617691007
157	0.6172473995
158	0.6168135435
159	0.6163792993
160	0.6159816651
161	0.6157231674
162	0.6153958144
163	0.6150295994
164	0.614571205
165	0.6141786545
166	0.6137828426
167	0.6133920597
168	0.6131312733
169	0.6127454906
170	0.6124051515
171	0.6119617043
172	0.6114979286
173	0.6111280419
174	0.6107171544
175	0.6102962557
176	0.6098973499
177	0.6093993331
178	0.6090394513
179	0.6087051278
180	0.6082608547
181	0.6077902894
182	0.6074749124
183	0.6071276337
184	0.6067370336
185	0.6063147673
186	0.6059160625
187	0.605525784
188	0.6050761892
189	0.6046856477
190	0.6042873054
191	0.6038138004
192	0.6033788415
193	0.6029762298
194	0.6026089873
195	0.6023713001
196	0.6020559889
197	0.6016377391
198	0.6012522157
199	0.6008416548
200	0.6004174421
201	0.600005886
202	0.5996931786
203	0.5993692115
204	0.5989741907
205	0.5985607578
206	0.5981337808
207	0.5977012679
208	0.5974210254
209	0.5970872404
210	0.5966833849
211	0.5963297415
212	0.5959369874
213	0.5956159327
214	0.5952212882
215	0.5947905623
216	0.5944046208
217	0.5940128393
218	0.5936953218
219	0.5932844892
220	0.5929144097
221	0.592655845
222	0.5922622498
223	0.5919181923
224	0.5915217397
